,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
13887,655,2019-07-01,VANDERHOOF,18.5,,,BC
13888,53358,2022-02-26,ISLAND LAKE SOUTH,-6.6,,88.0,AB
13889,655,2018-08-01,VANDERHOOF,19.0,,,BC
13890,53358,2022-04-28,ISLAND LAKE SOUTH,3.5,36.0,95.0,AB
13891,1596,2011-08-03,SHINGLE POINT A,13.7,41.0,,YT
13892,10932,2005-01-25,GARDEN RIVER,-13.4,,,AB
13893,3945,1992-08-25,RAINY RIVER-COOPER,13.0,,,ON
13894,655,2019-07-05,VANDERHOOF,15.8,,,BC
13895,51538,2021-07-12,FORT ST JAMES AUTO,18.6,,91.0,BC
13896,3945,1994-05-15,RAINY RIVER,9.5,,,ON
13897,47128,2017-03-11,FORT ASSINIBOINE AGCM,-18.7,0.0,,AB
13898,10186,2017-08-30,PINAWA,15.5,0.0,,MB
13899,3394,2006-10-05,STONY RAPIDS A,10.3,37.0,,SK
13900,1596,2011-07-13,SHINGLE POINT A,12.6,37.0,,YT
13901,1340,2015-09-03,VAVENBY,20.3,,,BC
13902,31469,2015-08-25,FAIRVIEW AGDM,11.5,0.0,,AB
13903,1665,1995-07-03,HAY RIVER PARADISE GDNS,10.8,,,NT
13904,3945,1996-06-21,RAINY RIVER,16.0,,,ON
13905,1525,2004-08-23,BURWASH A,9.8,,,YT
13906,49628,2018-06-19,DEASE LAKE A,18.6,0.0,,BC
13907,30494,2021-10-29,TATLAYOKO LAKE RCS,-0.6,33.0,90.0,BC
13908,8979,2010-10-17,ROCK RIVER,-12.9,0.0,,YT
13909,655,2018-06-18,VANDERHOOF,21.8,,,BC
13910,3945,1997-12-19,RAINY RIVER,-6.0,,,ON
13911,44343,2014-09-04,MINE CENTRE SOUTHWEST,17.0,,,ON
13912,4236,2015-07-10,BROCKVILLE PCC,20.8,,,ON
13913,47147,2021-06-11,LA CRETE AGCM,15.4,44.0,93.0,AB
13914,3880,2011-09-05,ISLAND LAKE A,16.0,39.0,,MB
13915,3945,1992-04-01,RAINY RIVER-COOPER,-5.8,,,ON
13916,10867,2022-09-16,COLVILLE LAKE A,6.4,,99.0,NT
13917,30494,2021-08-28,TATLAYOKO LAKE RCS,13.0,44.0,93.0,BC
13918,1106,2017-09-15,CASTLEGAR BCHPA DAM,15.3,,,BC
13919,48872,2021-08-20,KEY LAKE,11.3,41.0,,SK
13920,52758,2017-08-20,GILLAM A,17.0,50.0,,MB
13921,3945,1996-05-13,RAINY RIVER,9.3,,,ON
13922,10183,2011-10-09,RED EARTH,9.0,35.0,82.0,AB
13923,655,2019-09-03,VANDERHOOF,18.3,,,BC
13924,6838,2018-08-13,CRESTON CAMPBELL SCIENTIFIC,18.4,,66.0,BC
