x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-133.94166666666666,68.91083333333333,NT,220LQJJ,,98,STORM HILLS,-4.1,2021-05-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,99,STORM HILLS,-5,2021-05-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,98,STORM HILLS,-3,2021-05-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,88,STORM HILLS,3,2021-05-30 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,95,STORM HILLS,5.8,2021-05-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,73,STORM HILLS,4.8,2021-05-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,79,STORM HILLS,4.9,2021-05-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,99,STORM HILLS,-0.1,2021-05-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,97,STORM HILLS,-4.4,2021-05-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,97,STORM HILLS,-7.7,2021-05-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,96,STORM HILLS,-9.8,2021-05-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,95,STORM HILLS,8.7,2021-06-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,-2.3,2021-06-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,0.3,2021-06-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,75,STORM HILLS,14.3,2021-06-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,3.1,2021-06-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,2.2,2021-06-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,3.1,2021-06-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,45,STORM HILLS,18.4,2021-06-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,2.2,2021-06-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,99,STORM HILLS,0.3,2021-06-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,52,88,STORM HILLS,13.3,2021-06-29 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,12.1,2021-06-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,81,STORM HILLS,13,2021-06-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,5.5,2021-06-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,63,STORM HILLS,14.5,2021-06-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,85,STORM HILLS,16.5,2021-06-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,61,99,STORM HILLS,6.4,2021-06-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,99,STORM HILLS,6.7,2021-06-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,97,STORM HILLS,15.8,2021-06-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,98,STORM HILLS,13.4,2021-06-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,95,STORM HILLS,8.2,2021-06-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,94,STORM HILLS,12.1,2021-06-30 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,72,STORM HILLS,16.6,2021-06-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,91,STORM HILLS,17.9,2021-06-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,92,STORM HILLS,9.4,2021-06-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,80,STORM HILLS,13.1,2021-06-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,9,2021-06-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,64,STORM HILLS,17.8,2021-06-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,11.7,2021-06-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,52,79,STORM HILLS,16,2021-06-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,85,STORM HILLS,22.2,2021-07-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,98,STORM HILLS,15.4,2021-07-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,48,88,STORM HILLS,10.1,2021-07-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,93,STORM HILLS,12.1,2021-07-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,41,97,STORM HILLS,13.5,2021-07-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,64,STORM HILLS,21.8,2021-07-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,64,STORM HILLS,19.7,2021-07-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,83,STORM HILLS,14.6,2021-07-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,89,STORM HILLS,16.8,2021-07-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,99,STORM HILLS,4.9,2021-07-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,94,STORM HILLS,14.5,2021-07-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,48,98,STORM HILLS,12,2021-07-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,16.3,2021-07-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,99,STORM HILLS,5.5,2021-07-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,69,STORM HILLS,12.6,2021-07-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,98,STORM HILLS,3.7,2021-07-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,50,99,STORM HILLS,12.4,2021-07-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,95,STORM HILLS,10.1,2021-07-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,91,STORM HILLS,15.4,2021-07-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,10.4,2021-07-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,84,STORM HILLS,19,2021-07-31 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,84,STORM HILLS,14.3,2021-07-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,54,97,STORM HILLS,14.6,2021-07-29 00:00:00
