x,y,SPEED_MAX_GUST,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),2.2,99,6020LPQ,2001-04-07 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),1.7,97,6020LPQ,2001-04-08 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),1.5,94,6020LPQ,2001-04-09 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),3,97,6020LPQ,2001-04-10 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),3.3,97,6020LPQ,2001-04-11 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),1.4,99,6020LPQ,2001-04-12 00:00:00
-91.62805555555556,48.76111111111111,32,ON,ATIKOKAN (AUT),2.8,99,6020LPQ,2001-04-13 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),4.9,100,6020LPQ,2001-04-14 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),-1.7,96,6020LPQ,2001-04-15 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),-2.6,97,6020LPQ,2001-04-16 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-1.4,89,6020LPQ,2001-04-17 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),2.5,94,6020LPQ,2001-04-18 00:00:00
-91.62805555555556,48.76111111111111,32,ON,ATIKOKAN (AUT),10.7,55,6020LPQ,2001-04-19 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),7.6,99,6020LPQ,2001-04-20 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),2,100,6020LPQ,2001-04-21 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-0.4,97,6020LPQ,2001-04-22 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),0.8,99,6020LPQ,2001-04-23 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),4.1,91,6020LPQ,2001-04-24 00:00:00
-91.62805555555556,48.76111111111111,48,ON,ATIKOKAN (AUT),10,59,6020LPQ,2001-04-25 00:00:00
-91.62805555555556,48.76111111111111,52,ON,ATIKOKAN (AUT),7.9,76,6020LPQ,2001-04-26 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),6.4,,6020LPQ,2001-04-27 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),11.3,51,6020LPQ,2001-04-28 00:00:00
-91.62805555555556,48.76111111111111,56,ON,ATIKOKAN (AUT),18.6,71,6020LPQ,2001-04-29 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),15.4,98,6020LPQ,2001-04-30 00:00:00
-91.62805555555556,48.76111111111111,52,ON,ATIKOKAN (AUT),15.3,99,6020LPQ,2001-05-01 00:00:00
-91.62805555555556,48.76111111111111,48,ON,ATIKOKAN (AUT),13.4,95,6020LPQ,2001-05-02 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),9.3,87,6020LPQ,2001-05-03 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),8.6,92,6020LPQ,2001-05-04 00:00:00
-91.62805555555556,48.76111111111111,39,ON,ATIKOKAN (AUT),10.5,90,6020LPQ,2001-05-05 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),12,97,6020LPQ,2001-05-06 00:00:00
-91.62805555555556,48.76111111111111,59,ON,ATIKOKAN (AUT),11.7,98,6020LPQ,2001-05-07 00:00:00
-91.62805555555556,48.76111111111111,48,ON,ATIKOKAN (AUT),6.8,98,6020LPQ,2001-05-08 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),12.8,84,6020LPQ,2001-05-09 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),8.4,98,6020LPQ,2001-05-10 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),7.3,87,6020LPQ,2001-05-11 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),8.3,94,6020LPQ,2001-05-12 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),12,99,6020LPQ,2001-05-13 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),16.1,99,6020LPQ,2001-05-15 00:00:00
-91.62805555555556,48.76111111111111,39,ON,ATIKOKAN (AUT),16.6,99,6020LPQ,2001-05-16 00:00:00
-91.62805555555556,48.76111111111111,67,ON,ATIKOKAN (AUT),13.4,96,6020LPQ,2001-05-17 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),16.2,87,6020LPQ,2001-05-18 00:00:00
-91.62805555555556,48.76111111111111,37,ON,ATIKOKAN (AUT),17.4,92,6020LPQ,2001-05-19 00:00:00
-91.62805555555556,48.76111111111111,59,ON,ATIKOKAN (AUT),18.6,92,6020LPQ,2001-05-20 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),11.3,99,6020LPQ,2001-05-21 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),8.5,98,6020LPQ,2001-05-22 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),10.8,95,6020LPQ,2001-05-23 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),12.5,84,6020LPQ,2001-05-24 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),11.7,99,6020LPQ,2001-05-25 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),10.4,99,6020LPQ,2001-05-26 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),9.2,99,6020LPQ,2001-05-27 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),12.4,98,6020LPQ,2001-05-28 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),10.9,90,6020LPQ,2001-05-29 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),11.9,98,6020LPQ,2001-05-30 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),14.8,70,6020LPQ,2001-05-31 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),11.2,97,6020LPQ,2001-06-01 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),7.8,96,6020LPQ,2001-06-02 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),9.8,98,6020LPQ,2001-06-03 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),11.5,98,6020LPQ,2001-06-04 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),12.5,90,6020LPQ,2001-06-05 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),15.6,88,6020LPQ,2001-06-06 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),16.4,76,6020LPQ,2001-06-07 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),17,98,6020LPQ,2001-06-08 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),18.1,99,6020LPQ,2001-06-09 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),20.4,89,6020LPQ,2001-06-10 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),21.1,98,6020LPQ,2001-06-11 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),19.5,92,6020LPQ,2001-06-12 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),14.3,98,6020LPQ,2001-06-13 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),20,,6020LPQ,2001-06-14 00:00:00
-91.62805555555556,48.76111111111111,43,ON,ATIKOKAN (AUT),16.8,89,6020LPQ,2001-06-15 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),13.3,92,6020LPQ,2001-06-16 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),12.3,98,6020LPQ,2001-06-17 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),14.6,97,6020LPQ,2001-06-18 00:00:00
-91.62805555555556,48.76111111111111,50,ON,ATIKOKAN (AUT),15.6,90,6020LPQ,2001-06-19 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),13.8,97,6020LPQ,2001-06-20 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),13.7,96,6020LPQ,2001-06-21 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),14.2,98,6020LPQ,2001-06-22 00:00:00
-91.62805555555556,48.76111111111111,37,ON,ATIKOKAN (AUT),17.9,97,6020LPQ,2001-06-23 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),23.2,76,6020LPQ,2001-06-24 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),26.9,81,6020LPQ,2001-06-25 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),22.8,90,6020LPQ,2001-06-26 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),22.1,94,6020LPQ,2001-06-27 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),24.3,90,6020LPQ,2001-06-28 00:00:00
-91.62805555555556,48.76111111111111,61,ON,ATIKOKAN (AUT),23.4,92,6020LPQ,2001-06-29 00:00:00
-91.62805555555556,48.76111111111111,43,ON,ATIKOKAN (AUT),14.6,97,6020LPQ,2001-06-30 00:00:00
-91.62805555555556,48.76111111111111,37,ON,ATIKOKAN (AUT),12.9,96,6020LPQ,2001-07-01 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),12.6,95,6020LPQ,2001-07-02 00:00:00
-91.62805555555556,48.76111111111111,44,ON,ATIKOKAN (AUT),18.1,93,6020LPQ,2001-07-03 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),11.1,96,6020LPQ,2001-07-04 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),11.5,100,6020LPQ,2001-07-05 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),14,98,6020LPQ,2001-07-06 00:00:00
-91.62805555555556,48.76111111111111,33,ON,ATIKOKAN (AUT),19.5,99,6020LPQ,2001-07-07 00:00:00
-91.62805555555556,48.76111111111111,39,ON,ATIKOKAN (AUT),21.6,96,6020LPQ,2001-07-08 00:00:00
-91.62805555555556,48.76111111111111,41,ON,ATIKOKAN (AUT),22,98,6020LPQ,2001-07-09 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),16.8,96,6020LPQ,2001-07-10 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),16.1,97,6020LPQ,2001-07-11 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),17.8,98,6020LPQ,2001-07-12 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),18.7,98,6020LPQ,2001-07-13 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),18.7,97,6020LPQ,2001-07-14 00:00:00
-91.62805555555556,48.76111111111111,52,ON,ATIKOKAN (AUT),20.6,97,6020LPQ,2001-07-15 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),20.5,98,6020LPQ,2001-07-16 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),21,98,6020LPQ,2001-07-17 00:00:00
-91.62805555555556,48.76111111111111,37,ON,ATIKOKAN (AUT),22.4,98,6020LPQ,2001-07-21 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),23.6,96,6020LPQ,2001-07-18 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),23.6,97,6020LPQ,2001-07-19 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),23.6,98,6020LPQ,2001-07-20 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),23,98,6020LPQ,2001-07-22 00:00:00
-91.62805555555556,48.76111111111111,46,ON,ATIKOKAN (AUT),22.9,98,6020LPQ,2001-07-23 00:00:00
