Longitude,Latitude,Name,Date,Climate ID,SPEED_MAX_GUST,Province,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Station ID
-72.4,46.86666666666667,LAC AUX SABLES,2000-11-07 00:00:00,701LEEH,,QC,7.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1997-02-25 00:00:00,701LEEH,,QC,-19.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1990-02-08 00:00:00,701LEEH,,QC,-3.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-08-10 00:00:00,701LEEH,,QC,16.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-07-30 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1996-09-14 00:00:00,701LEEH,,QC,12.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1993-06-05 00:00:00,701LEEH,,QC,11.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-05-04 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-01-14 00:00:00,701LEEH,,QC,-15.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-10-06 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2015-10-10 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-10-04 00:00:00,701LEEH,,QC,3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-08-16 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-01-16 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2001-11-03 00:00:00,701LEEH,,QC,6.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1997-04-28 00:00:00,701LEEH,,QC,3.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-04-08 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-08-04 00:00:00,701LEEH,,QC,16.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-07-08 00:00:00,701LEEH,,QC,21.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2019-06-26 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2016-12-04 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-02-11 00:00:00,701LEEH,,QC,-15.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-10-17 00:00:00,701LEEH,,QC,6.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-07-25 00:00:00,701LEEH,,QC,13.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2000-09-11 00:00:00,701LEEH,,QC,14.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-12-18 00:00:00,701LEEH,,QC,0.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2001-01-21 00:00:00,701LEEH,,QC,-18.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-06-23 00:00:00,701LEEH,,QC,14.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2000-08-27 00:00:00,701LEEH,,QC,18.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-01-17 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2018-03-05 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-02-07 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-07-18 00:00:00,701LEEH,,QC,19.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-03-18 00:00:00,701LEEH,,QC,-3.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-12-30 00:00:00,701LEEH,,QC,-15.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-12-01 00:00:00,701LEEH,,QC,-6.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2004-11-18 00:00:00,701LEEH,,QC,1.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-11-27 00:00:00,701LEEH,,QC,-4.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1996-07-03 00:00:00,701LEEH,,QC,19.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-06-12 00:00:00,701LEEH,,QC,22.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-07-20 00:00:00,701LEEH,,QC,17.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-02-27 00:00:00,701LEEH,,QC,1.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1987-06-16 00:00:00,701LEEH,,QC,12.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2010-12-31 00:00:00,701LEEH,,QC,-4.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1987-08-07 00:00:00,701LEEH,,QC,16.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-05-05 00:00:00,701LEEH,,QC,17.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-06-25 00:00:00,701LEEH,,QC,23.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2001-07-18 00:00:00,701LEEH,,QC,18.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-02-27 00:00:00,701LEEH,,QC,-19.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2009-05-09 00:00:00,701LEEH,,QC,13.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-01-05 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-08-07 00:00:00,701LEEH,,QC,17.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-11-30 00:00:00,701LEEH,,QC,-2.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1996-03-17 00:00:00,701LEEH,,QC,-3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1997-07-08 00:00:00,701LEEH,,QC,15.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-07-21 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1995-11-30 00:00:00,701LEEH,,QC,-13.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-07-04 00:00:00,701LEEH,,QC,20.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1989-02-11 00:00:00,701LEEH,,QC,-7.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2019-09-01 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-04-01 00:00:00,701LEEH,,QC,1.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1995-02-01 00:00:00,701LEEH,,QC,-3.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-03-01 00:00:00,701LEEH,,QC,-15.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-03-29 00:00:00,701LEEH,,QC,2.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-11-08 00:00:00,701LEEH,,QC,4.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1993-08-21 00:00:00,701LEEH,,QC,12.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1993-12-23 00:00:00,701LEEH,,QC,-17.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-01-06 00:00:00,701LEEH,,QC,-19.2,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-07-13 00:00:00,701LEEH,,QC,18.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-09-01 00:00:00,701LEEH,,QC,13.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2019-09-25 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-10-28 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-10-31 00:00:00,701LEEH,,QC,3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1990-04-11 00:00:00,701LEEH,,QC,-0.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-10-11 00:00:00,701LEEH,,QC,5.4,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2018-12-24 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1995-05-18 00:00:00,701LEEH,,QC,11.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-05-24 00:00:00,701LEEH,,QC,16.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1989-10-11 00:00:00,701LEEH,,QC,3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-09-20 00:00:00,701LEEH,,QC,9.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2004-01-08 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-03-24 00:00:00,701LEEH,,QC,-12.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-10-07 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1995-12-13 00:00:00,701LEEH,,QC,-15.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1990-07-16 00:00:00,701LEEH,,QC,24.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1988-12-13 00:00:00,701LEEH,,QC,-14.8,,6872
