Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.5,,120C036,1991-11-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.0,,120C036,1991-02-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-9.5,,120C036,1989-10-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.0,,120C036,1989-08-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,5.8,,120C036,1996-08-09 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.0,,120C036,2006-02-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-10.0,,120C036,1993-12-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.0,,120C036,1993-12-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-17.5,,120C036,1995-02-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.0,,120C036,1988-09-17 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-8.0,,120C036,2005-12-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1987-11-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.5,,120C036,1993-11-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.0,,120C036,2007-10-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.5,,120C036,1993-06-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,13.5,,120C036,1997-06-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.0,,120C036,1993-03-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-9.0,,120C036,2000-12-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.3,,120C036,1999-11-24 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.5,,120C036,1993-04-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.8,,120C036,2002-05-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-17.5,,120C036,1990-11-08 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.0,,120C036,1999-05-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.3,,120C036,1990-04-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.0,,120C036,2006-06-24 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-05-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-04-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.5,,120C036,1994-07-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.5,,120C036,1995-07-23 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,2.0,,120C036,1993-10-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-29.0,,120C036,2008-02-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.8,,120C036,1996-08-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.8,,120C036,1996-08-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1994-04-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.5,,120C036,1997-05-05 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-9.5,,120C036,2003-04-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.8,,120C036,2001-01-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,11.5,,120C036,1995-06-08 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-05-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1989-01-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2002-12-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.5,,120C036,2006-08-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,15.0,,120C036,1987-07-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.0,,120C036,1997-08-23 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.5,,120C036,2002-02-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,2.8,,120C036,1999-05-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.5,,120C036,1989-08-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-19.0,,120C036,1995-02-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.0,,120C036,1999-05-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,5.3,,120C036,1993-09-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.8,,120C036,1998-12-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,2.5,,120C036,1991-04-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1998-09-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.3,,120C036,2007-05-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.5,,120C036,1987-10-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-6.0,,120C036,1991-10-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-13.0,,120C036,1994-01-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-07-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,7.0,,120C036,1990-06-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,11.8,,120C036,1997-08-24 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-6.8,,120C036,1996-04-08 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-8.0,,120C036,2006-02-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-1.0,,120C036,1997-11-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.5,,120C036,1987-11-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-1.0,,120C036,2002-11-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-11.0,,120C036,2000-12-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.5,,120C036,1996-05-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-12.0,,120C036,1992-02-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.0,,120C036,2001-11-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1998-05-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.0,,120C036,2008-02-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2003-06-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.8,,120C036,1996-05-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.5,,120C036,1991-02-17 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.0,,120C036,2005-07-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2008-03-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.5,,120C036,1993-02-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.3,,120C036,1995-02-09 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-8.0,,120C036,1991-12-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.8,,120C036,1994-09-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-6.3,,120C036,1997-11-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,5.5,,120C036,1990-05-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,7.0,,120C036,2004-05-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.0,,120C036,2005-04-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-03-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,11.3,,120C036,2001-07-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2002-06-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2008-05-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,15.5,,120C036,1994-08-08 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.0,,120C036,1990-02-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-12-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,12.0,,120C036,2004-08-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.3,,120C036,1996-09-05 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.0,,120C036,2006-08-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-1.0,,120C036,1989-10-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,5.3,,120C036,2000-06-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.3,,120C036,1992-02-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,17.5,,120C036,2005-08-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,16.3,,120C036,1990-08-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.5,,120C036,1987-05-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.5,,120C036,2003-12-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,7.5,,120C036,1988-07-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.3,,120C036,2003-10-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-21.8,,120C036,1997-03-05 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,7.0,,120C036,2002-06-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2000-04-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2002-09-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.5,,120C036,1997-11-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.8,,120C036,1995-09-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.5,,120C036,1999-07-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,7.5,,120C036,1988-06-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-22.0,,120C036,1990-12-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2003-07-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.5,,120C036,1988-05-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-24.5,,120C036,2001-03-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.5,,120C036,2002-08-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1998-05-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.8,,120C036,2000-06-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.8,,120C036,2001-07-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-30.5,,120C036,1997-01-24 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,16.0,,120C036,1994-08-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-24.0,,120C036,1995-12-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-11-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.5,,120C036,1995-08-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.5,,120C036,1990-06-17 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.8,,120C036,2002-06-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.5,,120C036,1991-07-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.5,,120C036,1998-06-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-09-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.0,,120C036,2005-06-20 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.3,,120C036,2001-03-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.8,,120C036,1994-01-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.8,,120C036,1997-08-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,6.3,,120C036,1999-09-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.5,,120C036,2003-12-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,11.3,,120C036,1993-06-13 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.0,,120C036,1997-05-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1998-09-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.0,,120C036,2005-02-24 00:00:00,1766
