x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-03-29 00:00:00,-1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1998-05-31 00:00:00,7.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-04-06 00:00:00,-4.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-11-20 00:00:00,-1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-07-31 00:00:00,18.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-06-14 00:00:00,19.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1997-04-17 00:00:00,0,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-10-14 00:00:00,-0.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-01-03 00:00:00,-5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-03-06 00:00:00,-16.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1991-11-08 00:00:00,-7.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-07-10 00:00:00,14.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-08-24 00:00:00,20.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-04-06 00:00:00,-6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2009-08-01 00:00:00,14.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-04-24 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-03-01 00:00:00,-14,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-12-15 00:00:00,-25.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1996-03-30 00:00:00,,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-05-18 00:00:00,6.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-09-03 00:00:00,12.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-07-18 00:00:00,20,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-11-11 00:00:00,-9,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-03-05 00:00:00,-18,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-04-06 00:00:00,1,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-06-14 00:00:00,18,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-02-24 00:00:00,-26.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-04-21 00:00:00,0,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-10-28 00:00:00,1.5,,,5031320
