Year,CostProvinceShort,DollarPerAcre,InflationScaler,DollarPerHectare,ProvinceID
1932,ON,38,13.333333333333334,15.37838931606637,5
1932,MB,16,13.333333333333334,6.475111290975313,6
1932,SK,15,13.333333333333334,6.070416835289357,7
1932,AB,14,13.333333333333334,5.665722379603399,8
1932,BC,35,13.333333333333334,14.164305949008495,9
1933,PE,33,14.084507042253522,13.354917037636584,1
1933,NS,17,14.084507042253522,6.879805746661271,2
1933,NB,17,14.084507042253522,6.879805746661271,3
1933,QC,32,14.084507042253522,12.950222581950626,4
1933,ON,37,14.084507042253522,14.973694860380412,5
1933,MB,16,14.084507042253522,6.475111290975313,6
1933,SK,15,14.084507042253522,6.070416835289357,7
1933,AB,13,14.084507042253522,5.2610279239174425,8
1933,BC,34,14.084507042253522,13.759611493322542,9
1934,PE,34,13.88888888888889,13.759611493322542,1
1934,NS,17,13.88888888888889,6.879805746661271,2
1934,NB,16,13.88888888888889,6.475111290975313,3
1934,QC,29,13.88888888888889,11.736139214892756,4
1934,ON,40,13.88888888888889,16.187778227438283,5
1934,MB,16,13.88888888888889,6.475111290975313,6
1934,SK,15,13.88888888888889,6.070416835289357,7
1934,AB,13,13.88888888888889,5.2610279239174425,8
1934,BC,32,13.88888888888889,12.950222581950626,9
1935,PE,30,13.6986301369863,12.140833670578711,1
1935,NS,19,13.6986301369863,7.689194658033185,2
1935,NB,17,13.6986301369863,6.879805746661271,3
1935,QC,33,13.6986301369863,13.354917037636584,4
1935,ON,40,13.6986301369863,16.187778227438283,5
1935,MB,16,13.6986301369863,6.475111290975313,6
1935,SK,16,13.6986301369863,6.475111290975313,7
1935,AB,13,13.6986301369863,5.2610279239174425,8
1935,BC,30,13.6986301369863,12.140833670578711,9
1936,PE,30,13.513513513513512,12.140833670578711,1
1936,NS,21,13.513513513513512,8.498583569405099,2
1936,NB,18,13.513513513513512,7.284500202347227,3
1936,QC,29,13.513513513513512,11.736139214892756,4
1936,ON,41,13.513513513513512,16.592472683124242,5
1936,MB,14,13.513513513513512,5.665722379603399,6
1936,SK,14,13.513513513513512,5.665722379603399,7
1936,AB,13,13.513513513513512,5.2610279239174425,8
1936,BC,31,13.513513513513512,12.545528126264667,9
1937,PE,32,12.987012987012989,12.950222581950626,1
1937,NS,19,12.987012987012989,7.689194658033185,2
1937,NB,17,12.987012987012989,6.879805746661271,3
1937,QC,29,12.987012987012989,11.736139214892756,4
1937,ON,42,12.987012987012989,16.997167138810198,5
1937,MB,15,12.987012987012989,6.070416835289357,6
1937,SK,13,12.987012987012989,5.2610279239174425,7
1937,AB,12,12.987012987012989,4.856333468231485,8
1937,BC,29,12.987012987012989,11.736139214892756,9
1938,PE,33,12.987012987012989,13.354917037636584,1
1938,NS,17,12.987012987012989,6.879805746661271,2
1938,NB,17,12.987012987012989,6.879805746661271,3
1938,QC,28,12.987012987012989,11.331444759206798,4
1938,ON,40,12.987012987012989,16.187778227438283,5
1938,MB,14,12.987012987012989,5.665722379603399,6
1938,SK,13,12.987012987012989,5.2610279239174425,7
1938,AB,11,12.987012987012989,4.451639012545528,8
1938,BC,30,12.987012987012989,12.140833670578711,9
1939,PE,32,12.987012987012989,12.950222581950626,1
1939,NS,19,12.987012987012989,7.689194658033185,2
1939,NB,18,12.987012987012989,7.284500202347227,3
1939,QC,29,12.987012987012989,11.736139214892756,4
1939,ON,40,12.987012987012989,16.187778227438283,5
1939,MB,14,12.987012987012989,5.665722379603399,6
1939,SK,12,12.987012987012989,4.856333468231485,7
1939,AB,12,12.987012987012989,4.856333468231485,8
1939,BC,29,12.987012987012989,11.736139214892756,9
1940,PE,28,12.5,11.331444759206798,1
1940,NS,16,12.5,6.475111290975313,2
1940,NB,14,12.5,5.665722379603399,3
1940,QC,28,12.5,11.331444759206798,4
1940,ON,39,12.5,15.783083771752326,5
1940,MB,13,12.5,5.2610279239174425,6
1940,SK,12,12.5,4.856333468231485,7
1940,AB,12,12.5,4.856333468231485,8
1940,BC,28,12.5,11.331444759206798,9
1941,PE,29,11.764705882352942,11.736139214892756,1
1941,NS,17,11.764705882352942,6.879805746661271,2
1941,NB,15,11.764705882352942,6.070416835289357,3
1941,QC,30,11.764705882352942,12.140833670578711,4
1941,ON,37,11.764705882352942,14.973694860380412,5
1941,MB,14,11.764705882352942,5.665722379603399,6
1941,SK,11,11.764705882352942,4.451639012545528,7
1941,AB,11,11.764705882352942,4.451639012545528,8
1941,BC,28,11.764705882352942,11.331444759206798,9
1942,PE,31,11.363636363636363,12.545528126264667,1
1942,NS,18,11.363636363636363,7.284500202347227,2
1942,NB,17,11.363636363636363,6.879805746661271,3
1942,QC,34,11.363636363636363,13.759611493322542,4
1942,ON,39,11.363636363636363,15.783083771752326,5
1942,MB,14,11.363636363636363,5.665722379603399,6
1942,SK,12,11.363636363636363,4.856333468231485,7
1942,AB,12,11.363636363636363,4.856333468231485,8
1942,BC,31,11.363636363636363,12.545528126264667,9
1943,PE,30,11.11111111111111,12.140833670578711,1
1943,NS,19,11.11111111111111,7.689194658033185,2
1943,NB,19,11.11111111111111,7.689194658033185,3
1943,QC,36,11.11111111111111,14.569000404694457,4
1943,ON,45,11.11111111111111,18.21125050586807,5
1943,MB,15,11.11111111111111,6.070416835289357,6
1943,SK,12,11.11111111111111,4.856333468231485,7
1943,AB,13,11.11111111111111,5.2610279239174425,8
1943,BC,33,11.11111111111111,13.354917037636584,9
1944,PE,33,10.989010989010987,13.354917037636584,1
1944,NS,22,10.989010989010987,8.903278025091057,2
1944,NB,22,10.989010989010987,8.903278025091057,3
1944,QC,36,10.989010989010987,14.569000404694457,4
1944,ON,46,10.989010989010987,18.615944961554025,5
1944,MB,16,10.989010989010987,6.475111290975313,6
1944,SK,13,10.989010989010987,5.2610279239174425,7
1944,AB,14,10.989010989010987,5.665722379603399,8
1944,BC,36,10.989010989010987,14.569000404694457,9
1945,PE,34,10.869565217391305,13.759611493322542,1
1945,NS,22,10.869565217391305,8.903278025091057,2
1945,NB,22,10.869565217391305,8.903278025091057,3
1945,QC,36,10.869565217391305,14.569000404694457,4
1945,ON,44,10.869565217391305,17.806556050182113,5
1945,MB,17,10.869565217391305,6.879805746661271,6
1945,SK,14,10.869565217391305,5.665722379603399,7
1945,AB,15,10.869565217391305,6.070416835289357,8
1945,BC,38,10.869565217391305,15.37838931606637,9
1946,PE,32,10.638297872340424,12.950222581950626,1
1946,NS,22,10.638297872340424,8.903278025091057,2
1946,NB,21,10.638297872340424,8.498583569405099,3
1946,QC,38,10.638297872340424,15.37838931606637,4
1946,ON,46,10.638297872340424,18.615944961554025,5
1946,MB,20,10.638297872340424,8.093889113719142,6
1946,SK,15,10.638297872340424,6.070416835289357,7
1946,AB,16,10.638297872340424,6.475111290975313,8
1946,BC,41,10.638297872340424,16.592472683124242,9
1947,PE,36,9.70873786407767,14.569000404694457,1
1947,NS,25,9.70873786407767,10.117361392148927,2
1947,NB,24,9.70873786407767,9.71266693646297,3
1947,QC,40,9.70873786407767,16.187778227438283,4
1947,ON,49,9.70873786407767,19.8300283286119,5
1947,MB,21,9.70873786407767,8.498583569405099,6
1947,SK,16,9.70873786407767,6.475111290975313,7
1947,AB,18,9.70873786407767,7.284500202347227,8
1947,BC,45,9.70873786407767,18.21125050586807,9
1948,PE,38,8.47457627118644,15.37838931606637,1
1948,NS,26,8.47457627118644,10.522055847834883,2
1948,NB,24,8.47457627118644,9.71266693646297,3
1948,QC,42,8.47457627118644,16.997167138810198,4
1948,ON,52,8.47457627118644,21.04411169566977,5
1948,MB,26,8.47457627118644,10.522055847834883,6
1948,SK,18,8.47457627118644,7.284500202347227,7
1948,AB,21,8.47457627118644,8.498583569405099,8
1948,BC,49,8.47457627118644,19.8300283286119,9
1949,PE,39,8.196721311475411,15.783083771752326,1
1949,NS,26,8.196721311475411,10.522055847834883,2
1949,NB,25,8.196721311475411,10.117361392148927,3
1949,QC,39,8.196721311475411,15.783083771752326,4
1949,ON,54,8.196721311475411,21.85350060704168,5
1949,MB,27,8.196721311475411,10.92675030352084,6
1949,SK,18,8.196721311475411,7.284500202347227,7
1949,AB,22,8.196721311475411,8.903278025091057,8
1949,BC,53,8.196721311475411,21.44880615135573,9
1950,PE,40,8.0,16.187778227438283,1
1950,NS,28,8.0,11.331444759206798,2
1950,NB,28,8.0,11.331444759206798,3
1950,QC,45,8.0,18.21125050586807,4
1950,ON,57,8.0,23.06758397409956,5
1950,MB,28,8.0,11.331444759206798,6
1950,SK,18,8.0,7.284500202347227,7
1950,AB,22,8.0,8.903278025091057,8
1950,BC,55,8.0,22.25819506272764,9
1951,PE,44,7.246376811594202,17.806556050182113,1
1951,NS,30,7.246376811594202,12.140833670578711,2
1951,NB,28,7.246376811594202,11.331444759206798,3
1951,QC,50,7.246376811594202,20.23472278429785,4
1951,ON,68,7.246376811594202,27.519222986645083,5
1951,MB,30,7.246376811594202,12.140833670578711,6
1951,SK,19,7.246376811594202,7.689194658033185,7
1951,AB,23,7.246376811594202,9.307972480777012,8
1951,BC,59,7.246376811594202,23.876972885471467,9
1952,PE,45,7.042253521126761,18.21125050586807,1
1952,NS,30,7.042253521126761,12.140833670578711,2
1952,NB,29,7.042253521126761,11.736139214892756,3
1952,QC,52,7.042253521126761,21.04411169566977,4
1952,ON,71,7.042253521126761,28.733306353702957,5
1952,MB,31,7.042253521126761,12.545528126264667,6
1952,SK,20,7.042253521126761,8.093889113719142,7
1952,AB,23,7.042253521126761,9.307972480777012,8
1952,BC,61,7.042253521126761,24.686361796843386,9
1953,PE,45,7.142857142857143,18.21125050586807,1
1953,NS,31,7.142857142857143,12.545528126264667,2
1953,NB,30,7.142857142857143,12.140833670578711,3
1953,QC,53,7.142857142857143,21.44880615135573,4
1953,ON,78,7.142857142857143,31.56616754350465,5
1953,MB,35,7.142857142857143,14.164305949008495,6
1953,SK,21,7.142857142857143,8.498583569405099,7
1953,AB,29,7.142857142857143,11.736139214892756,8
1953,BC,68,7.142857142857143,27.519222986645083,9
1954,PE,44,7.092198581560284,17.806556050182113,1
1954,NS,32,7.092198581560284,12.950222581950626,2
1954,NB,31,7.092198581560284,12.545528126264667,3
